state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
18,Indiana,2020-08-24,2020-04-06,,,,,,,,,545.0,4956.0,16.0,143.0,,924.0,507.0,
13,Georgia,2020-08-24,2020-04-06,,,,,,,,,667.0,7314.0,18.0,229.0,,,,
39,Ohio,2020-08-24,2020-04-06,,,,,,,,,410.0,4453.0,23.0,142.0,,,,
24,Maryland,2020-08-24,2020-04-06,,,,,,,,,428.0,4045.0,24.0,91.0,,,,184.0
42,Pennsylvania,2020-08-24,2020-04-06,,,,,,,,,1538.0,13127.0,28.0,179.0,,,533.0,
04,Arizona,2020-08-24,2020-04-06,,,,,,,,,191.0,2460.0,1.0,65.0,,,,
15,Hawaii,2020-08-24,2020-04-06,,,,,,,,,16.0,385.0,1.0,5.0,,,,85.0
54,West Virginia,2020-08-24,2020-04-06,,,,,,,,,21.0,345.0,1.0,4.0,,,,
31,Nebraska,2020-08-24,2020-04-06,,,,,,,,,53.0,417.0,1.0,9.0,,,,
17,Illinois,2020-08-24,2020-04-06,,,,,,,,,1003.0,12262.0,33.0,307.0,,,,
26,Michigan,2020-08-24,2020-04-06,,,,,,,,,1544.0,17729.0,118.0,792.0,,,,56.0
38,North Dakota,2020-08-24,2020-04-06,,,,,,,,,18.0,225.0,0.0,3.0,19.0,,,74.0
50,Vermont,2020-08-24,2020-04-06,,,,,,,,,31.0,543.0,1.0,23.0,28.0,,,15.0
16,Idaho,2020-08-24,2020-04-06,,,,,,,,,23.0,1101.0,0.0,10.0,62.0,,,
48,Texas,2020-08-24,2020-04-06,,,,,,,,,834.0,8043.0,19.0,182.0,1153.0,,,38.0
25,Massachusetts,2020-08-24,2020-04-06,,,,,,,,,1337.0,13820.0,28.0,259.0,1667.0,,,
47,Tennessee,2020-08-24,2020-04-06,,,,,,,,,144.0,3512.0,12.0,64.0,834.0,,,356.0
09,Connecticut,2020-08-24,2020-04-06,,,,,,,,,1231.0,6906.0,17.0,206.0,1221.0,,,
40,Oklahoma,2020-08-24,2020-04-06,,,,,,,,,75.0,1327.0,5.0,51.0,161.0,143.0,,522.0
10,Delaware,2020-08-24,2020-04-06,,,,,,,,,110.0,783.0,1.0,15.0,101.0,,,71.0
44,Rhode Island,2020-08-24,2020-04-06,,,,,,,,,160.0,1082.0,2.0,27.0,109.0,37.0,26.0,35.0
29,Missouri,2020-08-24,2020-04-06,,,,,,,,,422.0,2818.0,10.0,72.0,439.0,,,
35,New Mexico,2020-08-24,2020-04-06,,,,,,,,,62.0,686.0,0.0,12.0,45.0,,18.0,130.0
05,Arkansas,2020-08-24,2020-04-06,,,,,,,,,38.0,875.0,0.0,16.0,74.0,,22.0,102.0
01,Alabama,2020-08-24,2020-04-06,,,,,,,,,187.0,1952.0,4.0,49.0,297.0,,,
08,Colorado,2020-08-24,2020-04-06,,,,,,,,,233.0,5183.0,10.0,149.0,786.0,,,
06,California,2020-08-24,2020-04-06,,,,,,,,,990.0,16024.0,32.0,380.0,2509.0,1085.0,,
19,Iowa,2020-08-24,2020-04-06,,,,,,,,,77.0,946.0,7.0,25.0,99.0,,,284.0
27,Minnesota,2020-08-24,2020-04-06,,,,,,,,,51.0,986.0,1.0,30.0,115.0,57.0,,440.0
37,North Carolina,2020-08-24,2020-04-06,,,,,,,,,313.0,2962.0,7.0,45.0,270.0,,,
53,Washington,2020-08-24,2020-04-06,,,,,,,,,486.0,8311.0,45.0,381.0,638.0,191.0,,
22,Louisiana,2020-08-24,2020-04-06,,,,,,,,,1857.0,14867.0,35.0,512.0,1981.0,,552.0,
34,New Jersey,2020-08-24,2020-04-06,,,,,,,,,3585.0,41090.0,152.0,1337.0,6390.0,,1263.0,
36,New York,2020-08-24,2020-04-06,,,,,,,,,8655.0,131815.0,1030.0,7962.0,16837.0,4504.0,,13366.0
